DateTimeID,DateDay,DateMonth,DateYear,DateAmPm
95,12,11,2016,AM
96,15,4,2015,AM
97,25,4,2017,AM
98,23,7,2011,AM
99,24,7,2010,PM
100,1,10,2014,PM
101,14,12,2009,PM
102,9,2,2009,PM
103,7,7,2017,AM
104,3,6,2019,PM
105,4,5,2010,PM
106,18,9,2014,AM
107,21,1,2017,AM
108,19,6,2009,AM
109,2,7,2011,PM
110,11,1,2012,PM
111,11,2,2011,AM
112,16,10,2017,AM
113,27,11,2009,AM
114,15,10,2018,PM
115,10,7,2013,PM
116,6,5,2013,AM
117,18,5,2012,AM
118,1,9,2016,PM
119,3,12,2011,PM
120,9,11,2018,AM
121,4,10,2014,AM
122,21,11,2015,PM
123,11,6,2014,AM
124,25,1,2009,AM
125,17,12,2012,AM
126,13,5,2013,PM
127,5,7,2014,PM
128,8,3,2018,PM
129,3,2,2018,PM
130,16,5,2011,PM
131,1,10,2013,AM
132,10,1,2018,AM
133,20,3,2009,AM
134,3,2,2014,PM
135,11,6,2015,AM
136,15,9,2013,PM
137,14,9,2013,PM
138,23,4,2014,AM
139,8,9,2011,PM
140,11,4,2019,AM
141,5,2,2016,AM
142,27,7,2015,PM
143,28,12,2011,PM
144,12,2,2012,PM
145,12,7,2014,PM
146,28,5,2010,AM
147,26,8,2013,AM
148,21,7,2010,AM
149,12,10,2017,AM
150,3,12,2012,AM
151,2,11,2009,PM
152,6,8,2017,AM
153,16,7,2013,PM
154,27,3,2012,AM
155,18,2,2009,PM
156,11,11,2016,PM
157,16,12,2018,PM
158,8,2,2016,AM
159,22,5,2017,AM
160,4,8,2016,PM
161,15,5,2019,PM
162,7,3,2011,PM
163,19,10,2010,PM
164,10,12,2009,PM
165,7,1,2017,AM
166,25,1,2012,AM
167,6,2,2012,PM
168,9,7,2013,PM
169,16,3,2012,AM
170,21,9,2016,PM
171,20,8,2009,PM
172,21,8,2010,AM
173,7,6,2012,AM
174,27,7,2011,AM
175,3,12,2013,PM
176,23,7,2016,PM
177,11,8,2009,AM
178,16,9,2018,AM
179,16,5,2010,PM
180,28,3,2018,AM
181,13,11,2018,PM
182,15,9,2010,AM
183,14,6,2009,AM
184,23,6,2016,PM
185,28,8,2013,PM
186,26,12,2019,PM
187,19,8,2009,PM
188,21,12,2013,PM
189,6,7,2009,AM
190,19,8,2019,PM
191,16,10,2014,AM
192,12,8,2014,PM
193,19,1,2014,AM
194,18,10,2016,AM
195,26,12,2016,AM
196,25,3,2013,PM
197,14,9,2016,PM
198,17,1,2015,PM
199,25,6,2018,PM
200,27,4,2014,AM
201,21,10,2011,AM
202,5,5,2010,PM
203,22,5,2013,PM
204,12,11,2015,AM
205,12,5,2011,PM
206,4,11,2017,AM
207,4,10,2011,AM
208,24,2,2013,AM
209,16,12,2016,PM
210,19,3,2012,PM
211,12,1,2013,AM
212,15,12,2010,AM
213,2,5,2012,AM
214,11,8,2015,AM
215,22,7,2011,PM
216,28,11,2019,PM
217,15,8,2009,PM
218,26,9,2009,PM
219,3,12,2015,AM
220,19,8,2018,PM
221,27,10,2009,AM
222,6,8,2015,AM
223,24,4,2009,PM
224,15,11,2012,AM
225,14,12,2012,PM
226,18,6,2010,AM
227,28,11,2012,AM
228,18,7,2011,AM
229,18,2,2017,AM
230,9,12,2014,AM
231,18,2,2014,AM
232,14,4,2014,PM
233,18,8,2019,PM
234,26,3,2019,PM
235,9,2,2019,AM
236,13,3,2016,AM
237,17,8,2012,PM
238,3,7,2009,AM
239,12,5,2014,AM
240,8,12,2015,AM
241,27,8,2011,AM
242,13,10,2011,PM
243,3,10,2009,AM
244,17,1,2014,AM
245,2,3,2018,AM
246,9,6,2015,PM
247,6,5,2009,AM
248,5,4,2009,AM
249,6,8,2013,PM
250,1,12,2019,PM
251,22,5,2018,AM
252,4,2,2019,AM
253,23,5,2014,AM
254,13,6,2017,PM
255,23,5,2016,AM
256,22,8,2014,PM
257,12,10,2013,PM
258,28,11,2011,PM
259,28,12,2018,AM
260,17,1,2019,AM
261,2,8,2009,PM
262,4,5,2013,PM
263,27,9,2013,PM
264,3,6,2019,PM
265,8,6,2009,AM
266,23,2,2019,PM
267,24,5,2019,AM
268,7,8,2017,AM
269,20,10,2011,PM
270,7,6,2018,AM
271,21,8,2014,PM
272,23,12,2012,AM
273,12,4,2019,PM
274,23,3,2016,PM
275,25,8,2011,PM
276,23,2,2012,AM
277,21,9,2010,PM
278,6,7,2016,AM
279,28,12,2009,PM
280,13,9,2009,PM
281,14,4,2012,AM
282,24,12,2017,PM
283,2,4,2013,PM
284,26,4,2017,PM
285,22,12,2019,PM
286,9,5,2017,AM
287,26,9,2012,AM
288,14,11,2014,AM
289,7,9,2015,PM
290,13,2,2013,PM
291,4,6,2015,PM
292,10,9,2014,AM
293,23,2,2014,PM
294,23,7,2011,AM
295,21,9,2010,PM
296,24,11,2010,PM
297,25,10,2010,AM
298,26,10,2011,PM
299,3,3,2011,PM
300,20,7,2012,PM
301,17,4,2016,AM
302,21,10,2018,AM
303,26,4,2017,PM
304,4,12,2016,PM
305,26,8,2016,AM
306,2,10,2010,PM
307,28,11,2017,PM
308,18,5,2012,PM
309,9,6,2017,PM
310,10,11,2016,PM
311,2,7,2016,AM
312,15,11,2010,PM
313,16,11,2009,PM
314,23,5,2016,AM
315,11,8,2009,PM
316,2,9,2012,PM
317,28,8,2013,AM
318,16,11,2010,PM
319,26,1,2009,AM
320,7,10,2009,PM
321,4,9,2013,PM
322,10,8,2014,PM
323,6,11,2015,PM
324,11,9,2013,AM
325,5,3,2014,PM
326,27,8,2013,AM
327,13,9,2012,PM
328,13,1,2014,PM
329,22,12,2016,PM
330,20,1,2017,AM
331,5,6,2009,PM
332,11,11,2016,PM
333,22,2,2016,AM
334,16,4,2019,AM
335,15,9,2013,AM
336,24,11,2014,AM
337,25,6,2013,AM
338,7,11,2018,AM
339,4,6,2018,AM
340,24,3,2016,AM
341,19,3,2016,PM
342,13,3,2012,PM
343,17,11,2017,AM
344,1,8,2016,AM
345,13,3,2011,AM
346,22,11,2015,AM
347,16,6,2012,PM
348,12,4,2014,AM
349,28,10,2011,AM
350,14,4,2015,AM
351,4,8,2009,AM
352,22,5,2011,PM
353,12,3,2018,PM
354,7,11,2014,PM
355,17,12,2011,AM
356,9,1,2019,PM
357,28,1,2011,AM
358,4,8,2009,PM
359,12,10,2017,AM
360,21,12,2018,PM
361,14,1,2016,PM
362,22,10,2010,PM
363,6,9,2013,PM
364,1,10,2012,AM
365,2,12,2010,PM
366,7,3,2013,AM
367,22,5,2013,AM
368,6,9,2015,PM
369,25,10,2011,AM
370,28,3,2009,PM
371,12,5,2010,PM
372,10,12,2016,PM
373,2,10,2019,AM
374,6,7,2014,PM
375,16,3,2016,AM
376,22,3,2014,PM
377,7,1,2010,AM
378,25,4,2013,AM
379,6,2,2018,AM
380,25,2,2019,AM
381,6,5,2015,PM
382,20,4,2014,PM
383,5,4,2018,PM
384,11,11,2010,PM
385,27,5,2017,AM
386,10,10,2019,PM
387,3,2,2012,AM
388,20,11,2012,AM
389,8,6,2012,PM
390,28,4,2013,PM
391,17,7,2015,PM
392,7,6,2014,AM
393,21,11,2010,AM
394,4,6,2017,AM
395,23,4,2009,PM
396,26,3,2014,PM
397,2,3,2012,AM
398,13,9,2010,AM
399,12,11,2019,AM
400,15,8,2016,PM
