CustomerID,DateTimeID,QuestionID,RepresentativeID,DepartmentID,MobilePlanID,LengthOfCall,LevelOfEscalation,CustomerSatisfactionLevel,QueryResolutionBalance
16,174,82,11,6,1,206.32,First,Not at all Satisfied,-178.64
16,219,108,22,2,1,197.94,Second,Satisfied,1096.80
16,312,74,1,1,8,92.94,First,Satisfied,1421.94
17,65,136,3,5,7,112.97,First,Satisfied,298.48
17,97,149,31,6,8,25.09,Second,Very Satisfied,-564.32
17,210,149,29,3,9,97.38,First,Satisfied,-80.38
17,263,150,40,1,7,141.86,First,Partly Satisfied,1621.31
17,345,35,29,6,7,120.84,First,Partly Satisfied,1593.42
17,363,65,16,3,2,123.65,Second,More than Satisfied,1753.45
18,32,170,17,6,10,18.23,Second,Partly Satisfied,-672.10
18,41,167,20,5,4,79.12,First,Satisfied,994.89
18,45,52,5,1,1,201.69,Manager,Partly Satisfied,638.94
18,80,35,15,4,3,42.61,Second,Not at all Satisfied,-529.84
18,182,166,14,6,7,62.77,Second,Not at all Satisfied,1775.22
18,199,50,1,6,9,123.49,First,Not at all Satisfied,-138.38
19,59,26,22,3,8,138.55,Manager,Very Satisfied,1026.20
19,175,32,23,3,5,136.54,First,Satisfied,-214.15
19,189,34,24,5,4,209.30,First,Very Satisfied,-431.19
19,269,141,28,7,4,66.53,First,Satisfied,1667.95
21,83,125,34,4,10,185.40,First,More than Satisfied,-235.42
21,109,166,6,5,9,62.93,Manager,Not at all Satisfied,524.17
22,13,2,39,6,3,140.84,Manager,Very Satisfied,-774.24
22,38,138,24,5,2,171.41,First,More than Satisfied,242.73
22,84,177,8,4,4,180.03,First,Satisfied,1677.79
22,183,134,20,3,2,64.65,First,Very Satisfied,1166.21
23,17,36,36,2,6,116.45,First,Partly Satisfied,510.22
23,32,37,32,5,8,169.98,First,Satisfied,88.53
23,91,25,26,4,4,50.59,First,Partly Satisfied,525.21
23,119,41,5,7,10,21.45,Manager,More than Satisfied,695.58
23,229,73,15,4,10,205.39,First,Not at all Satisfied,156.13
23,229,155,24,6,1,32.00,Manager,Satisfied,1255.55
23,234,132,35,3,6,17.62,First,Very Satisfied,1493.26
23,237,136,9,7,1,55.06,Second,More than Satisfied,-241.03
23,333,133,24,2,10,78.69,First,Satisfied,1192.93
24,95,19,18,7,10,126.69,Second,More than Satisfied,1509.51
24,109,28,12,4,1,30.29,Second,More than Satisfied,1257.51
24,281,15,35,2,7,139.58,First,Satisfied,777.26
25,7,159,29,2,4,107.76,Manager,Satisfied,730.56
25,273,16,33,1,8,76.83,Manager,Not at all Satisfied,1432.82
25,285,109,26,2,5,113.09,Manager,Satisfied,1729.28
25,343,107,13,3,9,115.60,First,Not at all Satisfied,-714.65
25,368,99,25,4,9,28.66,Second,Satisfied,1520.32
25,390,144,19,1,5,11.30,First,Satisfied,1410.16
26,44,125,39,7,2,58.42,Second,More than Satisfied,921.73
26,93,155,26,6,7,54.98,Manager,Very Satisfied,760.27
26,151,128,25,2,5,57.05,First,Partly Satisfied,-313.18
26,242,164,22,5,10,92.27,Manager,Partly Satisfied,-796.98
26,255,102,40,4,4,37.14,First,Not at all Satisfied,1440.61
26,343,178,27,7,3,171.02,First,More than Satisfied,481.68
26,372,76,7,7,2,105.29,Manager,Partly Satisfied,-787.67
26,373,163,29,5,3,208.89,Second,Satisfied,1154.52
27,124,39,26,3,9,189.30,Manager,Satisfied,406.67
27,307,30,20,1,5,14.41,Manager,Partly Satisfied,-640.00
27,360,157,29,7,7,105.62,First,Not at all Satisfied,1264.07
27,381,17,32,2,2,161.71,First,Partly Satisfied,1232.16
27,398,157,12,2,6,204.75,First,Very Satisfied,-676.26
28,64,169,4,3,7,102.25,Second,Satisfied,63.52
28,103,60,3,1,10,71.89,Second,Satisfied,21.78
28,216,73,37,7,3,78.38,First,Satisfied,541.44
28,360,71,4,7,6,24.71,Manager,Satisfied,162.53
28,381,142,34,3,10,177.90,First,Satisfied,977.53
28,393,8,13,1,6,3.64,First,Partly Satisfied,-764.76
29,191,192,12,2,2,118.85,Second,Not at all Satisfied,-236.42
29,196,163,31,3,6,174.55,Second,Partly Satisfied,104.80
29,261,6,6,1,1,34.90,First,More than Satisfied,1706.39
29,317,21,30,3,1,147.77,First,Satisfied,-19.04
30,23,52,39,4,10,180.02,Second,More than Satisfied,-328.73
30,61,4,37,5,7,86.22,First,More than Satisfied,1317.79
30,223,144,25,6,3,192.37,Second,More than Satisfied,204.18
30,229,179,4,5,4,31.25,First,Satisfied,1358.41
30,266,35,36,6,1,204.46,Second,Very Satisfied,575.98
30,319,197,25,4,9,144.84,Second,Very Satisfied,-672.81
31,11,27,20,7,5,192.25,Manager,More than Satisfied,500.69
31,39,164,20,3,2,164.06,First,Very Satisfied,-218.87
31,46,7,24,2,3,111.04,Manager,Partly Satisfied,-744.15
31,142,145,2,4,1,57.30,Second,Satisfied,777.16
31,151,66,9,6,5,43.22,First,Very Satisfied,344.22
31,177,103,27,4,2,75.60,Second,Not at all Satisfied,519.28
31,396,104,35,2,3,132.80,Manager,Very Satisfied,-411.86
32,20,124,14,2,8,85.61,Second,Satisfied,128.65
32,67,154,30,2,1,200.39,Second,Partly Satisfied,-429.99
32,152,12,27,3,10,135.82,Second,Not at all Satisfied,380.58
32,329,16,34,1,4,104.60,First,Partly Satisfied,539.50
32,356,182,6,5,8,155.22,Manager,Satisfied,1589.65
33,342,167,4,1,4,170.49,First,Satisfied,1481.04
33,349,104,15,3,8,76.42,First,Satisfied,457.24
34,120,182,17,2,10,64.15,Manager,Very Satisfied,1332.32
34,205,64,18,3,2,147.20,Second,Satisfied,455.75
34,215,113,14,2,6,89.80,First,Satisfied,106.07
34,338,61,32,2,6,166.56,Manager,Not at all Satisfied,-71.92
34,382,190,37,5,6,74.84,First,Satisfied,536.13
35,2,34,31,3,8,17.07,Second,Satisfied,726.28
35,2,118,10,4,10,108.64,Second,Satisfied,1480.33
35,6,180,37,5,9,167.13,Second,More than Satisfied,233.52
35,131,147,33,4,5,145.77,Second,Satisfied,439.71
35,192,163,9,2,6,201.34,Second,Satisfied,497.56
35,244,6,3,1,4,131.09,Second,Very Satisfied,1167.43
35,347,118,4,4,6,92.05,First,Not at all Satisfied,-78.60
36,59,15,17,4,4,137.15,Manager,Partly Satisfied,-451.98
36,283,154,16,6,9,18.16,First,Partly Satisfied,207.43
36,289,90,18,2,10,75.90,First,Not at all Satisfied,516.65
36,289,135,38,5,6,176.67,Manager,Partly Satisfied,87.36
36,300,200,19,2,4,169.20,Second,More than Satisfied,-8.22
36,328,117,32,5,5,27.04,Manager,More than Satisfied,339.86
36,347,47,40,5,7,115.92,First,Not at all Satisfied,554.83
37,27,2,14,3,8,62.12,First,Very Satisfied,-636.33
37,262,77,33,2,7,50.95,Manager,Partly Satisfied,-211.43
38,45,171,35,2,4,23.34,First,Very Satisfied,-552.53
38,255,190,36,3,9,182.28,First,Partly Satisfied,1326.62
38,265,101,22,3,5,53.59,First,Not at all Satisfied,-490.51
39,53,115,13,6,1,148.80,First,More than Satisfied,-196.16
39,104,17,16,4,7,168.35,Manager,Satisfied,1169.99
39,127,165,3,2,8,14.27,Second,Satisfied,-455.22
39,176,182,10,6,2,143.21,Manager,Very Satisfied,1176.66
39,201,55,32,1,2,195.28,First,Very Satisfied,-592.10
39,398,166,26,1,10,114.66,First,Not at all Satisfied,915.45
40,104,156,37,3,10,91.03,Second,More than Satisfied,1587.52
40,146,75,31,5,5,198.37,First,More than Satisfied,639.69
40,165,144,39,4,8,9.61,Second,Not at all Satisfied,-403.68
40,341,173,21,2,6,136.83,Manager,More than Satisfied,1472.86
40,382,57,37,7,9,23.40,First,Satisfied,-20.99
41,141,187,27,5,2,178.44,Second,Partly Satisfied,100.91
41,148,17,32,1,8,181.31,Manager,Very Satisfied,407.53
41,242,164,40,7,6,69.42,First,Very Satisfied,-427.09
42,304,199,13,3,2,50.58,Second,More than Satisfied,736.95
42,310,70,2,6,6,9.60,First,Partly Satisfied,433.52
42,341,84,38,4,1,112.97,Manager,Partly Satisfied,514.18
42,377,174,30,6,6,35.69,Second,Partly Satisfied,1386.91
43,125,64,33,4,10,75.76,First,Not at all Satisfied,1092.73
43,139,141,4,1,2,60.09,First,Partly Satisfied,1348.40
43,162,63,23,2,4,151.72,Manager,Not at all Satisfied,-672.83
43,167,9,14,4,9,124.95,Second,Not at all Satisfied,532.21
43,265,72,25,4,4,194.45,First,Not at all Satisfied,128.09
43,296,179,40,4,8,29.83,Second,Partly Satisfied,949.23
43,312,118,9,5,3,174.57,First,Not at all Satisfied,-178.65
43,338,152,34,5,9,209.44,Second,More than Satisfied,-104.10
44,105,181,38,2,2,130.32,Manager,Not at all Satisfied,1042.59
44,187,163,36,4,9,169.39,Second,Not at all Satisfied,1644.31
44,193,176,26,4,10,104.38,Second,More than Satisfied,-81.72
44,243,24,2,1,9,53.49,Second,Very Satisfied,687.99
45,32,3,11,3,8,147.57,Manager,Satisfied,492.61
45,90,71,27,5,5,173.10,Second,Satisfied,1576.62
45,329,100,16,4,9,81.39,First,Not at all Satisfied,232.86
45,391,14,5,7,6,182.49,Second,Very Satisfied,597.47
45,391,50,3,4,3,130.17,First,More than Satisfied,787.36
46,34,4,13,7,2,40.49,First,Partly Satisfied,1797.78
46,90,155,27,3,6,15.67,First,Partly Satisfied,-401.84
46,258,11,23,6,4,150.51,First,Partly Satisfied,989.41
46,268,30,5,5,7,32.99,First,Very Satisfied,99.65
47,53,88,18,2,9,55.60,First,Satisfied,1302.76
47,75,53,11,1,10,149.02,First,Not at all Satisfied,-709.95
47,133,112,27,2,8,84.23,First,Not at all Satisfied,1649.14
47,167,80,20,3,9,47.06,First,More than Satisfied,1539.24
47,199,108,5,6,1,67.14,Manager,Satisfied,1328.14
47,258,95,29,3,3,152.28,Second,Satisfied,349.33
47,265,102,17,3,9,181.40,First,Very Satisfied,-119.02
47,395,35,9,2,6,22.90,First,Partly Satisfied,714.74
48,69,2,27,5,5,147.56,First,Not at all Satisfied,1009.20
48,94,89,5,2,10,182.10,Manager,Satisfied,226.29
48,110,138,21,7,3,91.61,Manager,More than Satisfied,409.96
48,253,138,19,1,8,75.06,First,Not at all Satisfied,900.41
48,279,136,37,3,3,99.03,Second,Satisfied,-678.28
49,12,190,2,2,7,142.41,First,Not at all Satisfied,1483.27
49,111,166,8,1,4,132.42,First,More than Satisfied,930.37
49,283,26,21,2,6,175.07,First,Satisfied,463.41
49,313,137,2,7,6,29.35,Second,Partly Satisfied,210.72
50,19,179,31,7,10,94.55,First,Partly Satisfied,413.34
50,68,88,33,7,8,96.93,First,Satisfied,492.34
50,78,141,12,4,4,131.88,First,Partly Satisfied,-377.17
50,102,177,40,3,10,192.16,Second,Very Satisfied,-705.24
50,219,55,4,6,10,88.60,First,Satisfied,-77.81
50,326,10,11,4,1,126.79,First,Not at all Satisfied,1623.66
50,377,106,38,5,9,141.02,Second,Satisfied,1501.89
51,17,159,2,1,8,13.86,First,More than Satisfied,729.57
51,54,45,40,2,10,96.04,First,Not at all Satisfied,728.87
51,108,39,7,6,5,52.04,Manager,More than Satisfied,-666.32
51,183,74,1,5,5,41.82,First,Not at all Satisfied,1494.59
51,193,169,30,7,2,63.26,Manager,Satisfied,1017.39
51,297,55,3,1,6,117.95,Second,Very Satisfied,1257.76
52,1,54,5,4,9,83.98,Manager,Very Satisfied,528.40
52,162,24,9,7,2,108.28,Manager,More than Satisfied,110.83
52,257,91,1,6,5,98.06,First,More than Satisfied,-34.29
53,17,51,15,3,8,72.69,First,More than Satisfied,1783.78
53,37,101,36,5,9,128.28,Second,Satisfied,1014.18
53,41,39,39,5,4,80.84,Manager,More than Satisfied,996.94
53,67,173,15,5,5,145.02,First,Very Satisfied,478.43
53,126,170,34,1,6,181.76,Manager,Satisfied,701.52
53,152,195,31,2,5,34.50,Second,More than Satisfied,-609.03
53,163,48,23,7,6,59.93,First,Satisfied,1584.60
53,216,75,32,7,4,98.52,Manager,Partly Satisfied,1437.73
53,273,198,40,6,3,205.65,Second,Not at all Satisfied,-405.64
53,336,53,15,3,4,134.49,Second,Not at all Satisfied,250.17
53,394,8,15,5,1,120.85,Manager,More than Satisfied,-407.26
54,35,127,5,1,5,173.92,Manager,Very Satisfied,1743.00
54,72,181,33,5,5,106.40,First,Satisfied,989.87
54,157,69,7,2,8,23.88,Manager,Partly Satisfied,-252.87
54,172,136,37,5,1,140.64,Manager,Not at all Satisfied,871.14
54,211,85,14,7,1,105.27,First,Partly Satisfied,1525.96
54,271,121,36,2,10,117.79,First,Not at all Satisfied,1624.14
55,2,166,34,7,5,183.51,Second,More than Satisfied,-390.39
55,13,76,4,6,10,145.41,First,More than Satisfied,-63.13
55,54,143,32,7,8,82.86,First,More than Satisfied,-267.96
55,67,81,30,1,6,133.86,Second,Not at all Satisfied,284.04
55,192,73,12,6,1,70.93,Second,More than Satisfied,-350.09
55,222,103,26,1,6,163.04,First,Very Satisfied,1269.10
55,269,122,5,1,3,195.88,First,Satisfied,-90.49
55,285,24,14,7,1,42.88,First,Partly Satisfied,654.63
55,384,93,21,7,5,10.33,Second,Satisfied,709.54
56,101,117,38,1,6,154.49,Second,Not at all Satisfied,288.79
56,207,140,3,7,10,206.30,First,Very Satisfied,668.91
56,280,140,11,5,8,136.88,Manager,Not at all Satisfied,1559.78
56,298,198,18,5,2,101.93,First,Very Satisfied,-303.08
57,129,151,19,6,1,136.12,Second,Partly Satisfied,-719.67
57,192,111,15,3,10,131.34,Second,Not at all Satisfied,1066.99
57,198,9,11,4,8,76.60,Second,Satisfied,-412.21
57,250,178,39,2,7,99.64,First,Partly Satisfied,377.02
57,399,56,27,5,6,124.59,First,Satisfied,911.38
58,85,7,37,5,3,41.66,Manager,Partly Satisfied,1627.92
58,110,95,20,2,8,139.76,First,More than Satisfied,1703.02
58,211,18,7,6,2,107.66,Second,Satisfied,1203.35
58,288,194,22,5,2,96.78,Manager,Not at all Satisfied,960.55
59,128,38,23,3,5,183.79,Second,Partly Satisfied,-173.88
59,170,114,7,6,3,71.50,First,Not at all Satisfied,1140.84
59,313,110,8,7,10,172.09,Manager,Very Satisfied,1582.66
59,399,175,16,6,5,192.27,Second,Not at all Satisfied,57.74
60,146,145,28,1,8,174.24,Second,Not at all Satisfied,393.47
60,222,146,10,3,4,108.56,Second,Satisfied,144.56
60,337,3,25,2,2,89.65,Second,Very Satisfied,-464.92
60,345,32,29,7,3,96.29,Manager,More than Satisfied,1313.10
60,366,87,26,7,1,92.42,Second,Partly Satisfied,1428.91
60,398,122,11,3,8,129.97,First,Partly Satisfied,71.98
61,46,28,28,7,5,98.53,Manager,Very Satisfied,11.41
61,157,185,21,7,2,90.05,Second,Very Satisfied,932.34
61,201,77,14,5,1,101.92,First,Satisfied,240.43
61,232,112,9,4,2,117.13,Manager,Satisfied,-725.81
61,305,132,39,1,8,154.03,First,More than Satisfied,-31.44
61,347,52,33,1,7,42.68,First,Very Satisfied,969.32
61,385,199,3,3,8,49.40,Manager,More than Satisfied,-259.65
62,90,171,34,4,5,68.22,First,Partly Satisfied,-544.21
62,100,172,18,5,3,3.88,First,Satisfied,1507.37
62,108,119,30,7,7,71.25,Second,Partly Satisfied,1666.67
62,157,153,29,5,10,142.55,First,Satisfied,1723.56
62,200,31,5,3,3,93.09,Second,Very Satisfied,900.58
62,312,103,19,1,1,73.84,First,Partly Satisfied,207.19
62,331,136,26,2,4,22.20,First,Partly Satisfied,809.82
62,371,147,27,1,3,32.27,Second,More than Satisfied,53.53
63,159,84,15,1,6,182.34,Second,Not at all Satisfied,477.40
63,247,176,18,3,6,75.59,Second,More than Satisfied,-464.95
63,346,163,2,4,10,162.64,First,Satisfied,1486.72
64,103,23,39,5,2,94.27,First,More than Satisfied,-5.58
64,147,192,27,7,6,185.26,Second,Partly Satisfied,-38.65
64,246,47,22,5,7,195.35,Manager,Satisfied,109.95
64,255,104,1,2,3,133.12,First,More than Satisfied,1485.66
64,264,66,18,4,1,40.53,Second,Partly Satisfied,454.02
64,346,11,30,3,3,10.37,First,Satisfied,667.69
64,353,183,35,3,1,141.61,First,Satisfied,668.39
65,18,62,13,1,4,88.93,First,Not at all Satisfied,-747.17
65,186,126,18,3,8,84.02,Second,Not at all Satisfied,1491.87
65,214,56,24,7,4,165.00,Second,Partly Satisfied,-119.47
65,276,27,14,5,10,181.34,Manager,Satisfied,1695.87
65,376,198,29,7,2,24.44,Manager,Not at all Satisfied,226.08
66,16,44,15,1,1,190.31,Manager,Partly Satisfied,374.08
66,150,5,14,2,1,4.98,Second,Partly Satisfied,906.76
66,198,67,31,7,8,43.81,First,More than Satisfied,-273.57
66,387,100,9,5,3,106.92,Second,Satisfied,1587.73
66,389,124,27,7,4,31.60,Second,Very Satisfied,1108.51
67,237,19,33,7,2,51.12,First,Partly Satisfied,-455.64
67,397,152,5,5,1,160.89,Second,Very Satisfied,827.73
68,27,18,36,3,8,30.75,First,Partly Satisfied,1057.62
68,78,94,28,4,5,173.86,Second,Not at all Satisfied,894.04
68,213,126,37,6,9,6.49,First,Very Satisfied,1007.64
68,214,146,19,5,7,75.95,Second,Satisfied,1362.98
68,335,144,10,1,4,171.68,Manager,Satisfied,1310.50
69,141,80,39,3,5,73.36,First,Satisfied,785.19
69,167,63,28,7,4,74.68,Manager,Very Satisfied,1560.11
69,195,10,6,7,8,196.27,Second,Satisfied,506.97
69,221,168,40,1,8,161.14,First,Satisfied,-674.79
69,272,69,19,5,5,34.31,Second,More than Satisfied,1500.22
69,380,61,25,7,4,189.98,First,More than Satisfied,78.47
69,387,130,19,4,3,91.44,Second,Satisfied,960.94
70,65,26,39,2,6,18.85,First,Not at all Satisfied,582.88
70,66,46,32,1,5,124.57,Manager,Satisfied,1118.82
70,99,110,25,4,10,145.72,First,Not at all Satisfied,840.31
70,162,120,15,5,4,184.15,First,Very Satisfied,986.73
70,255,171,13,7,3,75.38,Manager,More than Satisfied,263.81
70,274,67,29,7,1,126.55,First,Very Satisfied,-207.46
70,361,182,2,7,6,31.07,First,Partly Satisfied,-203.59
71,41,197,11,4,9,26.90,Second,Very Satisfied,448.62
71,170,135,6,6,4,135.76,First,Satisfied,1716.23
71,254,132,19,7,10,82.70,First,Not at all Satisfied,1513.56
71,308,34,35,4,8,206.15,First,Satisfied,-542.28
72,47,119,1,3,7,46.69,Second,Satisfied,774.70
72,256,133,10,5,10,40.03,Manager,Satisfied,-80.74
73,17,44,31,2,6,42.85,First,Satisfied,1050.74
73,144,33,40,2,6,174.91,Manager,Partly Satisfied,259.53
73,166,116,35,5,1,72.36,First,Partly Satisfied,1605.53
73,220,40,20,2,3,160.51,First,More than Satisfied,1632.17
73,338,45,38,4,1,175.25,First,Very Satisfied,848.75
74,68,70,17,7,4,49.51,First,Not at all Satisfied,1412.84
74,182,33,31,3,3,42.34,Manager,Not at all Satisfied,1206.65
74,223,199,3,4,10,114.16,First,Not at all Satisfied,-761.70
74,282,48,3,3,6,182.60,First,Satisfied,528.75
74,347,119,4,6,6,113.76,First,Not at all Satisfied,568.40
74,365,134,20,4,2,164.77,Second,Partly Satisfied,1087.57
75,125,21,12,5,4,39.65,Manager,More than Satisfied,-229.97
75,144,141,36,2,4,150.42,First,Satisfied,-187.35
75,184,114,35,3,5,140.56,Second,Very Satisfied,453.80
75,224,112,35,6,9,56.18,Second,Very Satisfied,51.67
75,271,97,33,1,9,65.78,First,Partly Satisfied,343.17
76,83,165,13,7,2,201.45,Second,Satisfied,351.72
76,128,94,11,3,1,47.29,First,Satisfied,1078.72
76,180,135,36,3,6,80.81,Manager,Satisfied,1094.69
76,276,158,30,3,2,67.14,Second,Very Satisfied,1394.53
76,360,5,24,5,4,205.02,Manager,More than Satisfied,-302.54
76,373,180,19,6,1,132.13,Manager,Partly Satisfied,1033.38
76,381,119,26,3,6,135.20,First,Not at all Satisfied,101.29
77,94,141,40,5,10,128.92,Second,More than Satisfied,1252.09
77,255,56,30,6,6,95.02,Second,Satisfied,-129.31
77,294,8,6,3,1,10.34,First,Very Satisfied,1193.21
77,375,128,7,7,10,157.81,Second,More than Satisfied,1252.09
77,377,170,16,2,5,75.11,First,Satisfied,1729.40
78,23,143,19,1,5,89.67,First,Very Satisfied,830.23
78,54,18,6,5,8,182.36,First,Partly Satisfied,1106.74
78,60,67,17,7,6,5.74,Second,Partly Satisfied,1179.87
78,76,51,18,7,2,197.93,Second,Satisfied,1188.00
78,320,24,9,5,10,149.78,Second,Very Satisfied,273.62
78,321,185,8,3,10,179.77,First,Satisfied,970.60
79,12,123,36,4,8,169.00,First,Satisfied,-489.15
79,259,158,23,3,10,160.89,First,Not at all Satisfied,1325.21
79,319,126,22,3,8,27.83,First,More than Satisfied,1551.21
79,324,18,38,5,1,138.83,First,More than Satisfied,1161.02
79,326,180,27,4,10,75.86,First,More than Satisfied,873.30
79,348,79,34,4,10,48.68,First,Satisfied,1601.15
80,46,85,22,7,10,145.32,First,Satisfied,-29.42
80,93,150,7,4,3,91.52,Second,Partly Satisfied,1476.04
80,146,62,39,1,5,140.86,First,Satisfied,-761.01
80,342,26,31,2,5,66.27,First,Not at all Satisfied,1638.78
81,117,91,22,6,7,67.43,First,Satisfied,1310.84
81,320,164,15,7,4,172.78,First,Partly Satisfied,1503.46
82,108,26,17,4,1,35.51,First,More than Satisfied,-108.46
82,141,183,15,5,5,110.51,First,Very Satisfied,283.86
82,188,90,17,6,5,133.15,Manager,Partly Satisfied,1586.27
82,397,65,6,4,6,31.08,Second,More than Satisfied,46.45
83,29,152,33,7,1,34.91,Second,More than Satisfied,1213.68
83,69,98,1,6,4,65.91,Manager,Very Satisfied,-647.15
83,132,143,13,4,7,88.63,Second,Not at all Satisfied,-566.72
83,156,3,13,4,9,98.10,First,Partly Satisfied,-689.59
83,179,101,34,1,9,125.95,First,Very Satisfied,1360.48
83,283,101,6,3,5,208.72,First,Not at all Satisfied,1492.94
83,295,76,28,2,8,197.77,Second,Not at all Satisfied,-319.44
83,353,153,11,1,5,130.43,Second,More than Satisfied,1707.92
83,400,77,23,7,9,18.28,First,Partly Satisfied,-449.76
84,76,37,27,6,8,151.54,Second,More than Satisfied,661.63
84,128,8,2,2,2,166.10,Manager,Not at all Satisfied,1532.61
84,234,91,6,5,7,206.52,First,Not at all Satisfied,501.26
84,386,32,11,2,2,83.77,Manager,Partly Satisfied,1741.60
85,69,59,16,4,3,41.94,Second,Satisfied,-71.63
85,96,66,24,6,10,50.54,Second,More than Satisfied,1103.11
85,106,9,18,5,4,146.36,First,Satisfied,1220.56
85,118,105,25,6,7,151.86,First,Partly Satisfied,619.67
85,329,103,27,6,1,195.80,First,Satisfied,-154.38
85,332,26,24,5,6,197.04,Second,Very Satisfied,1175.35
86,46,70,19,4,2,169.31,First,Satisfied,-114.27
86,268,158,25,1,7,179.03,Manager,Satisfied,1702.11
86,310,156,10,6,1,182.24,Second,More than Satisfied,164.67
86,378,136,8,3,9,129.82,First,Satisfied,525.55
87,12,163,11,1,7,130.50,First,Very Satisfied,-485.89
87,137,150,10,2,7,157.48,Manager,More than Satisfied,1325.70
87,184,183,4,6,2,180.11,First,Very Satisfied,-311.92
87,290,73,5,5,2,155.28,Second,Very Satisfied,-93.66
87,331,16,21,4,3,188.68,Second,Not at all Satisfied,68.30
87,362,1,36,4,3,199.85,First,Partly Satisfied,151.00
88,18,174,16,1,4,101.40,Manager,Partly Satisfied,76.02
88,55,115,22,6,7,174.74,First,Partly Satisfied,-493.75
88,137,112,23,4,3,64.19,Second,More than Satisfied,83.24
88,313,110,36,5,2,132.88,Second,Not at all Satisfied,-133.30
